Age [ka BP],TTT [°C]
-0.043,-30.54
-0.042,-30.61
-0.041,-30.72
-0.040,-30.85
-0.039,-31.02
-0.038,-31.16
-0.037,-31.32
-0.036,-31.47
-0.035,-31.58
-0.034,-31.68
-0.033,-31.73
-0.032,-31.78
-0.031,-31.80
-0.030,-31.84
-0.029,-31.86
-0.028,-31.83
-0.027,-31.82
-0.026,-31.76
-0.025,-31.71
-0.024,-31.70
-0.023,-31.63
-0.022,-31.58
-0.021,-31.52
-0.020,-31.48
-0.019,-31.38
-0.018,-31.36
-0.017,-31.29
-0.016,-31.20
-0.015,-31.17
-0.014,-31.10
-0.013,-31.05
-0.012,-31.00
-0.011,-30.94
-0.010,-30.88
-0.009,-30.85
-0.008,-30.81
-0.007,-30.73
-0.006,-30.71
-0.005,-30.67
-0.004,-30.63
-0.003,-30.66
-0.002,-30.62
-0.001,-30.63
0.000,-30.61
0.001,-30.54
0.002,-30.57
0.003,-30.58
0.004,-30.55
0.005,-30.50
0.006,-30.53
0.007,-30.52
0.008,-30.55
0.009,-30.56
0.010,-29.77
0.011,-29.82
0.012,-29.88
0.013,-29.93
0.014,-29.98
0.015,-30.03
0.016,-30.08
0.017,-30.13
0.018,-30.18
0.019,-30.23
0.020,-30.28
0.021,-30.37
0.022,-30.47
0.023,-30.56
0.024,-30.65
0.025,-30.74
0.026,-30.83
0.027,-30.92
0.028,-31.01
0.029,-31.10
0.030,-31.19
0.031,-31.28
0.032,-31.37
0.033,-31.46
0.034,-31.55
0.035,-31.64
0.036,-31.73
0.037,-31.81
0.038,-31.81
0.039,-31.81
0.040,-31.79
0.041,-31.76
0.042,-31.74
0.044,-31.71
0.045,-31.69
0.046,-31.66
0.047,-31.64
0.048,-31.61
0.049,-31.59
0.050,-31.57
0.051,-31.54
0.052,-31.52
0.053,-31.50
0.054,-31.47
0.055,-31.45
0.056,-31.43
0.057,-31.41
0.058,-31.41
0.059,-31.41
0.060,-31.41
0.061,-31.40
0.062,-31.41
0.063,-31.42
0.064,-31.42
0.065,-31.43
0.066,-31.44
0.067,-31.46
0.068,-31.48
0.069,-31.50
0.070,-31.52
0.071,-31.55
0.072,-31.57
0.073,-31.59
0.074,-31.61
0.075,-31.64
0.076,-31.67
0.077,-31.71
0.078,-31.74
0.079,-31.78
0.080,-31.81
0.081,-31.84
0.082,-31.88
0.083,-31.91
0.084,-31.94
0.085,-31.98
0.086,-32.01
0.087,-32.05
0.088,-32.09
0.089,-32.13
0.090,-32.17
0.091,-32.20
0.092,-32.24
0.093,-32.26
0.094,-32.26
0.095,-32.26
0.096,-32.26
0.097,-32.26
0.098,-32.27
0.099,-32.27
0.100,-32.27
0.101,-32.27
0.102,-32.27
0.103,-32.27
0.104,-32.27
0.105,-32.27
0.106,-32.27
0.107,-32.27
0.108,-32.28
0.109,-32.28
0.110,-32.28
0.111,-32.28
0.112,-32.28
0.113,-32.28
0.114,-32.29
0.115,-32.29
0.116,-32.29
0.117,-32.30
0.118,-32.30
0.119,-32.30
0.120,-32.31
0.121,-32.31
0.122,-32.32
0.123,-32.32
0.124,-32.33
0.125,-32.30
0.126,-32.26
0.127,-32.22
0.129,-32.18
0.130,-32.14
0.131,-32.10
0.132,-32.06
0.133,-32.02
0.134,-32.01
0.135,-32.02
0.136,-32.03
0.137,-32.04
0.138,-32.04
0.139,-32.05
0.140,-32.06
0.141,-32.07
0.142,-32.08
0.143,-32.09
0.144,-32.10
0.145,-32.09
0.146,-32.09
0.147,-32.08
0.148,-32.07
0.149,-32.07
0.150,-32.06
0.151,-32.05
0.152,-32.05
0.153,-32.04
0.154,-32.03
0.155,-32.03
0.156,-32.02
0.157,-32.04
0.158,-32.06
0.159,-32.08
0.160,-32.10
0.161,-32.12
0.162,-32.15
0.163,-32.17
0.164,-32.19
0.165,-32.21
0.166,-32.23
0.167,-32.23
0.168,-32.23
0.169,-32.23
0.170,-32.23
0.171,-32.24
0.172,-32.25
0.173,-32.26
0.174,-32.28
0.175,-32.29
0.176,-32.30
0.177,-32.32
0.178,-32.33
0.179,-32.35
0.180,-32.39
0.181,-32.44
0.182,-32.49
0.183,-32.54
0.184,-32.59
0.185,-32.63
0.186,-32.68
0.187,-32.73
0.188,-32.78
0.189,-32.83
0.190,-32.88
0.191,-32.91
0.192,-32.88
0.193,-32.85
0.194,-32.82
0.195,-32.79
0.196,-32.76
0.197,-32.74
0.198,-32.71
0.199,-32.68
0.200,-32.65
0.201,-32.59
0.202,-32.53
0.203,-32.47
0.204,-32.42
0.205,-32.36
0.206,-32.30
0.207,-32.25
0.208,-32.19
0.209,-32.13
0.210,-32.09
0.211,-32.06
0.212,-32.03
0.214,-32.00
0.215,-31.97
0.216,-31.94
0.217,-31.91
0.218,-31.88
0.219,-31.85
0.220,-31.82
0.221,-31.81
0.222,-31.84
0.223,-31.87
0.224,-31.90
0.225,-31.93
0.226,-31.96
0.227,-31.99
0.228,-32.02
0.229,-32.05
0.230,-32.08
0.231,-32.11
0.232,-32.14
0.233,-32.18
0.234,-32.21
0.235,-32.24
0.236,-32.28
0.237,-32.31
0.238,-32.34
0.239,-32.37
0.240,-32.40
0.241,-32.45
0.242,-32.51
0.243,-32.57
0.244,-32.63
0.245,-32.65
0.246,-32.64
0.247,-32.63
0.248,-32.62
0.249,-32.61
0.250,-32.59
0.251,-32.58
0.252,-32.57
0.253,-32.56
0.254,-32.55
0.255,-32.54
0.256,-32.53
0.257,-32.52
0.258,-32.51
0.259,-32.50
0.260,-32.45
0.261,-32.38
0.262,-32.31
0.263,-32.25
0.264,-32.18
0.265,-32.11
0.266,-32.04
0.267,-32.01
0.268,-32.00
0.269,-31.98
0.270,-31.96
0.271,-31.95
0.272,-31.93
0.273,-31.91
0.274,-31.90
0.275,-31.88
0.276,-31.87
0.277,-31.85
0.278,-31.82
0.279,-31.79
0.280,-31.76
0.281,-31.73
0.282,-31.69
0.283,-31.66
0.284,-31.63
0.285,-31.60
0.286,-31.59
0.287,-31.59
0.288,-31.58
0.289,-31.58
0.290,-31.58
0.291,-31.57
0.292,-31.57
0.293,-31.56
0.294,-31.56
0.295,-31.58
0.296,-31.61
0.297,-31.64
0.299,-31.66
0.300,-31.69
0.301,-31.72
0.302,-31.74
0.303,-31.77
0.304,-31.80
0.305,-31.82
0.306,-31.87
0.307,-31.93
0.308,-31.99
0.309,-32.05
0.310,-32.12
0.311,-32.17
0.312,-32.23
0.313,-32.29
0.314,-32.35
0.315,-32.41
0.316,-32.44
0.317,-32.45
0.318,-32.46
0.319,-32.47
0.320,-32.48
0.321,-32.49
0.322,-32.50
0.323,-32.51
0.324,-32.52
0.325,-32.53
0.326,-32.55
0.327,-32.49
0.328,-32.41
0.329,-32.33
0.330,-32.25
0.331,-32.17
0.332,-32.09
0.333,-32.02
0.334,-31.94
0.335,-31.86
0.336,-31.78
0.337,-31.70
0.338,-31.68
0.339,-31.66
0.340,-31.65
0.341,-31.63
0.342,-31.62
0.343,-31.60
0.344,-31.59
0.345,-31.57
0.346,-31.56
0.347,-31.54
0.348,-31.53
0.349,-31.51
0.350,-31.50
0.351,-31.48
0.352,-31.46
0.353,-31.45
0.354,-31.43
0.355,-31.42
0.356,-31.43
0.357,-31.44
0.358,-31.46
0.359,-31.47
0.360,-31.48
0.361,-31.49
0.362,-31.51
0.363,-31.52
0.364,-31.53
0.365,-31.55
0.366,-31.57
0.367,-31.59
0.368,-31.61
0.369,-31.64
0.370,-31.66
0.371,-31.68
0.372,-31.70
0.373,-31.72
0.374,-31.75
0.375,-31.77
0.376,-31.79
0.377,-31.73
0.378,-31.67
0.379,-31.61
0.380,-31.54
0.381,-31.48
0.382,-31.42
0.384,-31.36
0.385,-31.30
0.386,-31.24
0.387,-31.18
0.388,-31.13
0.389,-31.14
0.390,-31.14
0.391,-31.15
0.392,-31.16
0.393,-31.16
0.394,-31.17
0.395,-31.18
0.396,-31.18
0.397,-31.19
0.398,-31.19
0.399,-31.20
0.400,-31.21
0.401,-31.25
0.402,-31.29
0.403,-31.33
0.404,-31.37
0.405,-31.41
0.406,-31.45
0.407,-31.49
